Einsatzort;AcDcKoppelung;Batterietechnologie;PumpbetriebLeistungsaufnahme;PumpbetriebKontinuierlichRegelbar;Pumpspeichertechnologie;Notstromaggregat;BestandteilGrenzkraftwerk;NettonennleistungDeutschland;ZugeordneteWirkleistungWechselrichter;NutzbareSpeicherkapazitaet;SpeMastrNummer;EegMastrNummer;EegAnlagentyp;Technologie;LeistungsaufnahmeBeimEinspeichern;NetzbetreiberMastrNummer;Registrierungsdatum;EinheitMastrNummer;DatumLetzteAktualisierung;LokationMastrNummer;NetzbetreiberpruefungStatus;NetzbetreiberpruefungDatum;AnlagenbetreiberMastrNummer;Land;Bundesland;Landkreis;Gemeinde;Gemeindeschluessel;Postleitzahl;Gemarkung;FlurFlurstuecknummern;Strasse;StrasseNichtGefunden;Hausnummer;HausnummerNichtGefunden;Adresszusatz;Ort;Laengengrad;Breitengrad;UtmZonenwert;UtmEast;UtmNorth;GaussKruegerHoch;GaussKruegerRechts;Meldedatum;GeplantesInbetriebnahmedatum;Inbetriebnahmedatum;DatumEndgueltigeStilllegung;DatumBeginnVoruebergehendeStilllegung;DatumBeendigungVorlaeufigenStilllegung;DatumWiederaufnahmeBetrieb;EinheitSystemstatus;EinheitBetriebsstatus;BestandsanlageMastrNummer;NichtVorhandenInMigriertenEinheiten;AltAnlagenbetreiberMastrNummer;DatumDesBetreiberwechsels;DatumRegistrierungDesBetreiberwechsels;NameStromerzeugungseinheit;Weic;WeicDisplayName;Kraftwerksnummer;Energietraeger;Bruttoleistung;Nettonennleistung;AnschlussAnHoechstOderHochSpannung;Schwarzstartfaehigkeit;Inselbetriebsfaehigkeit;Einsatzverantwortlicher;FernsteuerbarkeitNb;FernsteuerbarkeitDv;FernsteuerbarkeitDr;Einspeisungsart;PraequalifiziertFuerRegelenergie;GenMastrNummer;Netzbetreiberzuordnungen;ReserveartNachDemEnWG;DatumUeberfuehrungInReserve;Hausnummer_nv;Weic_nv;Kraftwerksnummer_nv;DatenQuelle;DatumDownload;ZugeordnenteWirkleistungWechselrichter
;DC gekoppeltes System;Lithium-Batterie;;;;0;;;;;SSE996761127424;EEG945860310404;8.0;Batterie;;;2024-01-04;SEE964495120134;2024-06-24 16:34:20.644925;SEL942264540871;1.0;;ABR939358696873;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2023-06-28;;;;;Aktiviert;In Betrieb;;0;;;;Stromspeicher;;;;Speicher;3.75;3.75;;;;;;;;Teileinspeisung (einschlieﬂlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;4.6
;DC gekoppeltes System;Sonstige Batterie;;;;0;;;;;SSE954927782979;;8.0;Batterie;;;2024-01-24;SEE982652699293;2024-01-24 13:27:59.812645;;0.0;;ABR954377231270;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;2024-02-29;;;;;;Aktiviert;In Planung;;0;;;;Speicher WEG Kla 28/30;;;;Speicher;4.8;4.8;;;;;0.0;;;Teileinspeisung (einschlieﬂlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;19.6
