ZugeordneteWirkleistungWechselrichter;GemeinsamerWechselrichterMitSpeicher;AnzahlModule;Lage;Leistungsbegrenzung;EinheitlicheAusrichtungUndNeigungswinkel;Hauptausrichtung;HauptausrichtungNeigungswinkel;Nebenausrichtung;NebenausrichtungNeigungswinkel;InAnspruchGenommeneFlaeche;ArtDerFlaeche;InAnspruchGenommeneLandwirtschaftlichGenutzteFlaeche;Nutzungsbereich;Buergerenergie;EegMastrNummer;ArtDerFlaecheIds;Zaehlernummer;NetzbetreiberMastrNummer;Registrierungsdatum;EinheitMastrNummer;DatumLetzteAktualisierung;LokationMastrNummer;NetzbetreiberpruefungStatus;NetzbetreiberpruefungDatum;AnlagenbetreiberMastrNummer;Land;Bundesland;Landkreis;Gemeinde;Gemeindeschluessel;Postleitzahl;Gemarkung;FlurFlurstuecknummern;Strasse;StrasseNichtGefunden;Hausnummer;HausnummerNichtGefunden;Adresszusatz;Ort;Laengengrad;Breitengrad;UtmZonenwert;UtmEast;UtmNorth;GaussKruegerHoch;GaussKruegerRechts;Meldedatum;GeplantesInbetriebnahmedatum;Inbetriebnahmedatum;DatumEndgueltigeStilllegung;DatumBeginnVoruebergehendeStilllegung;DatumBeendigungVorlaeufigenStilllegung;DatumWiederaufnahmeBetrieb;EinheitSystemstatus;EinheitBetriebsstatus;BestandsanlageMastrNummer;NichtVorhandenInMigriertenEinheiten;AltAnlagenbetreiberMastrNummer;DatumDesBetreiberwechsels;DatumRegistrierungDesBetreiberwechsels;NameStromerzeugungseinheit;Weic;WeicDisplayName;Kraftwerksnummer;Energietraeger;Bruttoleistung;Nettonennleistung;AnschlussAnHoechstOderHochSpannung;Schwarzstartfaehigkeit;Inselbetriebsfaehigkeit;Einsatzverantwortlicher;FernsteuerbarkeitNb;FernsteuerbarkeitDv;FernsteuerbarkeitDr;Einspeisungsart;PraequalifiziertFuerRegelenergie;GenMastrNummer;Netzbetreiberzuordnungen;ReserveartNachDemEnWG;DatumUeberfuehrungInReserve;Hausnummer_nv;Weic_nv;Kraftwerksnummer_nv;DatenQuelle;DatumDownload;InAnspruchGenommeneAckerflaeche
0.44;;2.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;0.0;Süd;Fassadenintegriert;Ost;Fassadenintegriert;;;;Haushalt;;EEG941023534670;;;;2022-07-27;SEE931918213636;2022-08-22 18:26:35.077750;SEL907304236640;1.0;;ABR924089943204;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2022-06-26;;;;;Aktiviert;In Betrieb;;0;;;;Stecker-Solar GU5;;;;Solare Strahlungsenergie;0.4;0.4;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);Nein;0.0;Süd-West;Fassadenintegriert;Süd-Ost;Fassadenintegriert;;;;;;EEG990495419961;;;;2023-03-12;SEE937814243586;2023-03-12 12:01:20.456493;SEL909808314626;2.0;;ABR935348956781;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2023-03-12;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.6;0.6;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.3;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);Nein;1.0;Süd;Nachgeführt;;;;;;;;EEG963229875043;;;;2023-04-18;SEE960647615145;2023-04-18 12:00:46.797243;SEL915239287910;2.0;;ABR995341261305;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2023-04-18;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.38;0.3;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;4.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);Nein;1.0;Süd;> 60 Grad;;;;;;;;EEG975159306375;;;;2023-05-02;SEE904249064970;2023-05-02 19:50:11.016088;SEL956114508737;2.0;2024-01-28;ABR912101254421;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2023-04-03;;;;;Aktiviert;In Betrieb;;0;;;;Balkon 6;;;;Solare Strahlungsenergie;0.8;0.8;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;1.0;West;< 20 Grad;;;;;;;;EEG913581742590;;;;2023-06-01;SEE943297356439;2023-06-01 10:09:48.052429;SEL934309362715;2.0;;ABR946856685209;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2023-05-22;;;;;Aktiviert;In Betrieb;;0;;;;Power Stat;;;;Solare Strahlungsenergie;0.75;0.6;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
96.0;;298.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);;1.0;Ost;< 20 Grad;;;;;;Haushalt;;EEG940457531590;;;;2023-08-04;SEE935701881699;2024-06-26 16:11:58.117225;SEL901051887544;1.0;;ABR985319209743;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Darwinstraße;0.0;14.0;0.0;;Berlin;13.314762;52.522151;;;;;;;;2023-08-04;;;;;Aktiviert;In Betrieb;;0;;2023-08-04;2023-08-04;Berlin - Darwinstraße 14;;;;Solare Strahlungsenergie;122.18;96.0;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;0.0;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);Nein;1.0;Süd;< 20 Grad;;;;;;;;EEG918085803044;;;;2024-02-22;SEE957959707651;2024-02-22 18:15:06.755134;SEL976246018218;2.0;;ABR961726318698;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-02-22;;;;;Aktiviert;In Betrieb;;0;;;;Standort W;;;;Solare Strahlungsenergie;0.8;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
25.0;;72.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Ja, sonstige;1.0;Süd-West;< 20 Grad;;;;;;Gewerbe, Handel und Dienstleistungen;;EEG954789589815;;;;2023-10-18;SEE900579522746;2023-10-18 19:31:20.955103;SEL939729997011;0.0;2024-06-10;ABR985443823372;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2023-10-05;;;;;Aktiviert;In Betrieb;;0;;;;Lise-Meitner-Str. 3;;;;Solare Strahlungsenergie;29.52;25.0;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
92.2;;249.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);;1.0;Süd;< 20 Grad;;;;;;Gewerbe, Handel und Dienstleistungen;;EEG969568013139;;;;2024-01-04;SEE969647010707;2024-06-24 16:29:48.000953;SEL949833641311;1.0;;ABR939358696873;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Max-Dohrn-Straße;0.0;1.0;0.0;;Berlin;13.305083;52.531624;;;;;;;;2023-06-28;;;;;Aktiviert;In Betrieb;;0;;;;PV-Anlage;;;;Solare Strahlungsenergie;99.6;92.2;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;0.0;0;0;bulk;2024-09-16;
0.8;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG944421873907;;;;2024-07-31;SEE926097730494;2024-07-31 16:52:38.858013;SEL963496281219;2.0;2024-07-31;ABR970528248164;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-07-14;;;;;Aktiviert;In Betrieb;;0;;;;Balkon Straßenseite;;;;Solare Strahlungsenergie;0.87;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
19.6;;54.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;0.0;Nord-West;20 - 40 Grad;;20 - 40 Grad;;;;Haushalt;;;;;;2024-01-24;SEE951718250792;2024-01-24 13:29:31.612785;;0.0;;ABR954377231270;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;2024-02-29;;;;;;Aktiviert;In Planung;;0;;;;Solar WEG Kla 28/30;;;;Solare Strahlungsenergie;22.41;19.6;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);Ja, sonstige;1.0;West;20 - 40 Grad;;;;;;;;EEG967145490243;;;;2024-03-06;SEE905730736390;2024-03-06 09:31:20.379107;SEL933780746571;2.0;2024-09-11;ABR919308033101;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-03-06;;;;;Aktiviert;In Betrieb;;0;;;;Balkon PV;;;;Solare Strahlungsenergie;0.86;0.8;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Freifläche;;1.0;Süd;20 - 40 Grad;;;0.000432;;;;;EEG963798456711;Grünland;;;2024-05-06;SEE929529459505;2024-05-06 06:41:24.582445;SEL939282544387;0.0;2024-05-06;ABR905516716332;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-04-27;;;;;Aktiviert;In Betrieb;;0;;;;Garten;;;;Solare Strahlungsenergie;0.89;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG936407858022;;;;2024-06-20;SEE995500268596;2024-06-20 05:10:23.664699;SEL969642648912;2.0;2024-06-20;ABR957757002033;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-06-20;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.6;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG930621852736;;;;2024-04-07;SEE916190252689;2024-04-07 15:11:11.471397;SEL935284279258;2.0;;ABR964072071156;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-04-07;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.83;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG919824657454;;;;2024-06-10;SEE919364158220;2024-06-10 11:05:22.895977;SEL918126673766;2.0;2024-06-10;ABR908403125996;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-06-03;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk max. 600W AC;;;;Solare Strahlungsenergie;0.65;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG905018345283;;;;2024-04-27;SEE973990304598;2024-04-27 17:59:38.633428;SEL942480978694;2.0;2024-08-29;ABR915209385196;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-04-27;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk SOLAKON;;;;Solare Strahlungsenergie;0.6;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.3;;1.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG934030017885;;;;2024-05-01;SEE964225507051;2024-05-01 11:25:01.547320;SEL996802046875;2.0;;ABR912432537675;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-05-01;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.31;0.3;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG994628002068;;;;2024-05-06;SEE999575506416;2024-05-06 10:15:10.902818;SEL942817987528;2.0;;ABR907950402154;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-05-06;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.4;0.4;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG978289512517;;;;2024-05-18;SEE956571346590;2024-05-18 14:15:36.146879;SEL924826907216;2.0;;ABR930583725956;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-05-18;;;;;Aktiviert;In Betrieb;;0;;;;Laube;;;;Solare Strahlungsenergie;1.0;0.6;;;;;;;;Volleinspeisung;;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG924311932419;;;;2024-08-25;SEE939551903181;2024-08-25 09:20:20.998930;SEL938655633642;2.0;2024-08-25;ABR996364187436;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-08-24;;;;;Aktiviert;In Betrieb;;0;;;;Vorgarten;;;;Solare Strahlungsenergie;0.6;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.3;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG915907299627;;;;2024-07-14;SEE998118221366;2024-07-14 18:49:42.805467;SEL987014897539;2.0;2024-07-14;ABR921206011273;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-07-14;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk TK;;;;Solare Strahlungsenergie;0.24;0.24;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG991632375768;;;;2024-06-18;SEE932513005534;2024-06-18 04:58:57.696635;SEL901390749503;2.0;2024-06-18;ABR906173611367;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-06-18;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk Laube;;;;Solare Strahlungsenergie;0.6;0.6;;;;;;;;Volleinspeisung;;;;;;;0;0;bulk;2024-09-16;
0.8;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG932190783886;;;;2024-06-01;SEE925390093589;2024-06-01 12:29:05.057524;SEL912016709870;2.0;;ABR904886288746;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-06-01;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk-EZ1-Abedjan;;;;Solare Strahlungsenergie;0.8;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG925955534724;;;;2024-06-06;SEE990471733050;2024-06-06 07:04:53.271925;SEL928488910119;2.0;;ABR954811970468;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-05-10;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.6;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
