ZugeordneteWirkleistungWechselrichter;GemeinsamerWechselrichterMitSpeicher;AnzahlModule;Lage;Leistungsbegrenzung;EinheitlicheAusrichtungUndNeigungswinkel;Hauptausrichtung;HauptausrichtungNeigungswinkel;Nebenausrichtung;NebenausrichtungNeigungswinkel;InAnspruchGenommeneFlaeche;ArtDerFlaeche;InAnspruchGenommeneLandwirtschaftlichGenutzteFlaeche;Nutzungsbereich;Buergerenergie;EegMastrNummer;ArtDerFlaecheIds;Zaehlernummer;NetzbetreiberMastrNummer;Registrierungsdatum;EinheitMastrNummer;DatumLetzteAktualisierung;LokationMastrNummer;NetzbetreiberpruefungStatus;NetzbetreiberpruefungDatum;AnlagenbetreiberMastrNummer;Land;Bundesland;Landkreis;Gemeinde;Gemeindeschluessel;Postleitzahl;Gemarkung;FlurFlurstuecknummern;Strasse;StrasseNichtGefunden;Hausnummer;HausnummerNichtGefunden;Adresszusatz;Ort;Laengengrad;Breitengrad;UtmZonenwert;UtmEast;UtmNorth;GaussKruegerHoch;GaussKruegerRechts;Meldedatum;GeplantesInbetriebnahmedatum;Inbetriebnahmedatum;DatumEndgueltigeStilllegung;DatumBeginnVoruebergehendeStilllegung;DatumBeendigungVorlaeufigenStilllegung;DatumWiederaufnahmeBetrieb;EinheitSystemstatus;EinheitBetriebsstatus;BestandsanlageMastrNummer;NichtVorhandenInMigriertenEinheiten;AltAnlagenbetreiberMastrNummer;DatumDesBetreiberwechsels;DatumRegistrierungDesBetreiberwechsels;NameStromerzeugungseinheit;Weic;WeicDisplayName;Kraftwerksnummer;Energietraeger;Bruttoleistung;Nettonennleistung;AnschlussAnHoechstOderHochSpannung;Schwarzstartfaehigkeit;Inselbetriebsfaehigkeit;Einsatzverantwortlicher;FernsteuerbarkeitNb;FernsteuerbarkeitDv;FernsteuerbarkeitDr;Einspeisungsart;PraequalifiziertFuerRegelenergie;GenMastrNummer;Netzbetreiberzuordnungen;ReserveartNachDemEnWG;DatumUeberfuehrungInReserve;Hausnummer_nv;Weic_nv;Kraftwerksnummer_nv;DatenQuelle;DatumDownload;InAnspruchGenommeneAckerflaeche
0.8;;4.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG959596255595;;;;2024-07-13;SEE919846294439;2024-07-13 12:56:55.148056;SEL948032659301;2.0;2024-07-13;ABR914847773969;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-07-13;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.8;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG908780538198;;;;2024-07-15;SEE980725091845;2024-07-15 16:05:27.807643;SEL917061012159;2.0;2024-07-15;ABR928338991473;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-07-15;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.6;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.6;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG964165295438;;;;2024-07-15;SEE928626970326;2024-07-15 18:27:15.714244;SEL987468262846;2.0;2024-07-15;ABR906166792301;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-07-15;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.6;0.6;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG988293949902;;;;2024-07-18;SEE977075111675;2024-07-18 12:55:53.536840;SEL995869055097;2.0;2024-07-18;ABR985368550896;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-07-15;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.8;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG973247888253;;;;2024-07-29;SEE950287250875;2024-07-29 18:06:26.822353;SEL902038872331;2.0;2024-07-29;ABR977755394671;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-07-29;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.88;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;2.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG959877256884;;;;2024-08-05;SEE959855633850;2024-08-05 05:37:43.393996;SEL927386840139;2.0;2024-08-05;ABR958883250961;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-08-05;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.86;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.35;;5.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG914419011765;;;;2024-08-12;SEE925515766800;2024-08-12 18:45:15.863151;SEL906728492151;2.0;2024-08-12;ABR965362557909;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-08-12;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.134;0.134;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG977921903508;;;;2024-08-18;SEE971362587549;2024-08-18 13:39:40.703949;SEL927295279952;2.0;2024-08-18;ABR960828495726;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-08-18;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.8;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;4.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG924456414955;;;;2024-08-31;SEE987180485677;2024-08-31 11:38:42.616593;SEL904388451679;2.0;2024-08-31;ABR906201587084;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-08-31;;;;;Aktiviert;In Betrieb;;0;;;;Loggia West;;;;Solare Strahlungsenergie;0.8;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;4.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG962321361843;;;;2024-08-31;SEE946303866748;2024-08-31 05:57:55.997242;SEL931240077876;2.0;2024-08-31;ABR995202541935;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-08-31;;;;;Aktiviert;In Betrieb;;0;;;;Galle4;;;;Solare Strahlungsenergie;0.8;0.8;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
0.8;;1.0;Steckerfertige Solaranlage (sog. Balkonkraftwerk);;;;;;;;;;;;EEG920610477613;;;;2024-09-09;SEE919967031531;2024-09-09 07:32:37.634340;SEL955547271157;2.0;2024-09-09;ABR957883942944;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2024-09-07;;;;;Aktiviert;In Betrieb;;0;;;;Balkonkraftwerk;;;;Solare Strahlungsenergie;0.5;0.5;;;;;;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
