EinheitMastrNummer;DatumLetzteAktualisierung;LokationMastrNummer;NetzbetreiberpruefungStatus;NetzbetreiberpruefungDatum;AnlagenbetreiberMastrNummer;Land;Bundesland;Landkreis;Gemeinde;Gemeindeschluessel;Postleitzahl;Ort;Strasse;StrasseNichtGefunden;Hausnummer;Hausnummer_nv;HausnummerNichtGefunden;Laengengrad;Breitengrad;Registrierungsdatum;Inbetriebnahmedatum;EinheitSystemstatus;EinheitBetriebsstatus;NichtVorhandenInMigriertenEinheiten;NameGasverbrauchsseinheit;EinheitDientDerStromerzeugung;MaximaleGasbezugsleistung;VerknuepfteEinheit;GeplantesInbetriebnahmedatum;Adresszusatz;Gemarkung;FlurFlurstuecknummern;DatumDesBetreiberwechsels;DatumRegistrierungDesBetreiberwechsels;DatumEndgueltigeStilllegung;DatumBeginnVoruebergehendeStilllegung;DatenQuelle;DatumDownload
GVE930761589677;2020-12-21 16:55:29.027857;GVL925148345618;1.0;;ABR946446968408;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;Berlin;Am Spreebord;0;5.0;0;0;13.311595;52.521291;2020-12-21;1976-02-03;Aktiviert;In Betrieb;0;HKW Charlottenburg Gasturbine 4;1.0;280000.0;SEE926090463146;;;;;;;;;bulk;2024-09-16
GVE949365245018;2020-12-21 16:59:23.772651;GVL945300548831;1.0;;ABR946446968408;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;Berlin;Am Spreebord;0;5.0;0;0;13.311595;52.521291;2020-12-21;1976-08-20;Aktiviert;In Betrieb;0;HKW Charlottenburg Gasturbine 5;1.0;288000.0;SEE962934119541;;;;;;;;;bulk;2024-09-16
