NameKraftwerk;NameKraftwerksblock;DatumBaubeginn;SteigerungNettonennleistungKombibetrieb;AnlageIstImKombibetrieb;MastrNummernKombibetrieb;NetzreserveAbDatum;SicherheitsbereitschaftAbDatum;Hauptbrennstoff;WeitererHauptbrennstoff;WeitereBrennstoffe;VerknuepfteErzeugungseinheiten;BestandteilGrenzkraftwerk;NettonennleistungDeutschland;AnteiligNutzungsberechtigte;Notstromaggregat;Einsatzort;KwkMastrNummer;Technologie;AusschliesslicheVerwendungImKombibetrieb;NetzbetreiberMastrNummer;Registrierungsdatum;EinheitMastrNummer;DatumLetzteAktualisierung;LokationMastrNummer;NetzbetreiberpruefungStatus;NetzbetreiberpruefungDatum;AnlagenbetreiberMastrNummer;Land;Bundesland;Landkreis;Gemeinde;Gemeindeschluessel;Postleitzahl;Gemarkung;FlurFlurstuecknummern;Strasse;StrasseNichtGefunden;Hausnummer;HausnummerNichtGefunden;Adresszusatz;Ort;Laengengrad;Breitengrad;UtmZonenwert;UtmEast;UtmNorth;GaussKruegerHoch;GaussKruegerRechts;Meldedatum;GeplantesInbetriebnahmedatum;Inbetriebnahmedatum;DatumEndgueltigeStilllegung;DatumBeginnVoruebergehendeStilllegung;DatumBeendigungVorlaeufigenStilllegung;DatumWiederaufnahmeBetrieb;EinheitSystemstatus;EinheitBetriebsstatus;BestandsanlageMastrNummer;NichtVorhandenInMigriertenEinheiten;AltAnlagenbetreiberMastrNummer;DatumDesBetreiberwechsels;DatumRegistrierungDesBetreiberwechsels;NameStromerzeugungseinheit;Weic;WeicDisplayName;Kraftwerksnummer;Energietraeger;Bruttoleistung;Nettonennleistung;AnschlussAnHoechstOderHochSpannung;Schwarzstartfaehigkeit;Inselbetriebsfaehigkeit;Einsatzverantwortlicher;FernsteuerbarkeitNb;FernsteuerbarkeitDv;FernsteuerbarkeitDr;Einspeisungsart;PraequalifiziertFuerRegelenergie;GenMastrNummer;Netzbetreiberzuordnungen;ReserveartNachDemEnWG;DatumUeberfuehrungInReserve;Hausnummer_nv;Weic_nv;Kraftwerksnummer_nv;DatenQuelle;DatumDownload
20kWel;BHKW Mephisto20;;;;;;;Erdgas, Erdölgas;;;;;;;0;;KWK972081813797;Verbrennungsmotor;;;2019-06-07;SEE916644936936;2021-03-27 04:36:37.909384;SEL926584182041;1.0;;ABR989602173346;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2015-02-20;;;;;Aktiviert;In Betrieb;;0;;;;01A103;;;;Erdgas;20.7;20.0;;;;;0;;;Volleinspeisung;;;;;;;0;0;bulk;2024-09-16
Olbersstraße 33;Kraftwerk_Mephisto_G34;;;;;;;Erdgas, Erdölgas;;;;;;;0;;KWK945924513260;Verbrennungsmotor;;;2019-07-26;SEE903496300473;2021-05-17 09:55:56.757964;SEL917404595981;1.0;;ABR969563918507;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Olbersstr.;1.0;33.0;1.0;;Berlin;13.302061;52.529373;;;;;;;;2011-12-13;;;;;Aktiviert;In Betrieb;;0;;;;Olbersstraße 33;;;;Erdgas;34.0;34.0;;;;;0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;0.0;0;0;bulk;2024-09-16
HKW Charlottenburg;Block 4;;;0.0;;;;Erdgas, Erdölgas;Heizöl, leicht;;;0.0;;;0;;KWK915336403503;Gasturbinen mit Abhitzekessel;;;2020-12-01;SEE926090463146;2020-12-01 13:49:28.469524;SEL925793804041;1.0;;ABR946446968408;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Am Spreebord;0.0;5.0;0.0;;Berlin;13.311595;52.521291;;;;;;;;1976-02-03;;;;;Aktiviert;In Betrieb;;0;;;;HKW Charlottenburg Gasturbine 4;11WD8CHAR5G---41;CHA-_BL_4;BNA0074;Erdgas;73000.0;72000.0;1.0;;;9977866000006.0;0;0.0;;Teileinspeisung (einschließlich Eigenverbrauch);;SGE932873711311;;;;0.0;0;0;bulk;2024-09-16
HKW Charlottenburg;Block 5;;;0.0;;;;Erdgas, Erdölgas;Heizöl, leicht;;;0.0;;;0;;KWK915336403503;Gasturbinen mit Abhitzekessel;;;2020-12-01;SEE962934119541;2020-12-01 14:13:12.869131;SEL914063864359;1.0;;ABR946446968408;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Am Spreebord;0.0;5.0;0.0;;Berlin;13.311595;52.521291;;;;;;;;1976-08-20;;;;;Aktiviert;In Betrieb;;0;;;;HKW Charlottenburg Gasturbine 5;11WD8CHAR5G--5-U;CHA-_BL_5;BNA0074;Erdgas;73000.0;72000.0;1.0;;;9977866000006.0;0;0.0;;Teileinspeisung (einschließlich Eigenverbrauch);;SGE932873711311;;;;0.0;0;0;bulk;2024-09-16
HKW Charlottenburg;Block 6;;;0.0;;;;Heizöl, leicht;;;;0.0;;;0;;KWK915336403503;Kondensationsmaschine mit Entnahme;;;2020-12-01;SEE905484009146;2022-12-01 07:52:10.180000;;1.0;;;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Am Spreebord;0.0;5.0;0.0;;Berlin;13.311595;52.521291;;;;;;;;1976-09-18;2018-09-28;;;;Aktiviert;Endgültig stillgelegt;;0;;;;HKW Charlottenburg Gasturbine 6;11WD8CHAR5O---6N;CHA-_BL_6;BNA0074;Mineralölprodukte;68000.0;67000.0;1.0;;;9977866000006.0;0;0.0;;Teileinspeisung (einschließlich Eigenverbrauch);;SGE927186372168;;;;0.0;0;0;bulk;2024-09-16
;;;;;;;;Erdgas, Erdölgas;;;;;;;0;;;Sonstige;;;2021-01-26;SEE984018936493;2021-04-20 09:17:11.866711;SEL977902928100;1.0;;ABR993148201814;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2018-11-30;;;;;Aktiviert;In Betrieb;;0;;;;KAA47 BHKW Giese GB 12-25;;;;Erdgas;14.0;12.0;;;;;0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16
;;;;0.0;;;;Heizöl, leicht;;;;0.0;;;1;Telekommunikationsbranche;;Verbrennungsmotor;;;2021-02-15;SEE978381723118;2024-03-08 15:18:37.049866;SEL994672305443;0.0;2024-09-02;ABR902428166637;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Lise-Meitner-Straße;0.0;10.0;0.0;;Berlin;13.307479;52.528729;;;;;;;;2009-03-12;;;;;Aktiviert;In Betrieb;;0;;;;PASM NEA Berlin Lise-Meitner;;;;Mineralölprodukte;792.0;633.6;;;;;0;0.0;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;0.0;0;0;bulk;2024-09-16
